well_id,well_name,field_name,status,oil_type,depth_m,discovery_year,operator,lon,lat
IQ-OW-040,A-040,Akkas,active,medium crude,2153,1964,Iraq Drilling Company,44.672241,30.594691
IQ-OW-041,A-041,Akkas,planned,medium crude,1272,1935,North Oil Company,39.706249,33.748057
IQ-OW-042,Q-042,Qayyarah,planned,condensate,1464,1963,Iraq Drilling Company,42.736861,29.499040
IQ-OW-043,BH-043,Bai Hassan,active,heavy crude,2690,2016,Iraq Drilling Company,48.266421,34.287695
IQ-OW-044,Z-044,Zubair,active,sour crude,1448,1965,Midland Oil Company,41.468389,30.565636
IQ-OW-045,R-045,Rumaila,active,condensate,5136,2002,Basra Oil Company,46.651362,31.804619
IQ-OW-046,Q-046,Qayyarah,active,sour crude,2911,2010,North Oil Company,47.592476,31.308306
IQ-OW-047,R-047,Rumaila,inactive,sour crude,4395,1990,Basra Oil Company,46.337197,30.822621
IQ-OW-048,H-048,Halfaya,inactive,medium crude,3847,1931,Missan Oil Company,43.068089,30.160090
IQ-OW-049,R-049,Rumaila,active,medium crude,3367,1988,Demo Petroleum Co,41.402219,33.563681
IQ-OW-050,R-050,Rumaila,active,sour crude,4394,2014,Basra Oil Company,44.241917,31.738708
IQ-OW-051,M-051,Majnoon,active,condensate,3306,2016,Demo Petroleum Co,39.601252,35.526434
IQ-OW-052,AA-052,Al-Ahdab,active,condensate,1841,1999,Basra Oil Company,42.627905,35.513519
IQ-OW-053,G-053,Gharraf,planned,light crude,4656,1959,Iraq Drilling Company,43.348712,31.749229
IQ-OW-054,A-054,Akkas,active,medium crude,3244,1961,North Oil Company,48.374308,34.606722
IQ-OW-055,M-055,Majnoon,active,sour crude,4087,2015,Demo Petroleum Co,40.332018,35.109974
IQ-OW-056,A-056,Akkas,inactive,sour crude,2323,1995,Iraq Drilling Company,46.147537,37.177251
IQ-OW-057,BH-057,Bai Hassan,active,light crude,1301,1964,Iraq Drilling Company,39.857082,30.948541
IQ-OW-058,M-058,Mansuriyah,active,sour crude,4666,1932,Basra Oil Company,43.932026,30.781512
IQ-OW-059,M-059,Majnoon,active,sour crude,1362,1961,Iraq Drilling Company,47.601933,29.864769
IQ-OW-060,N-060,Nassiriya,planned,light crude,2597,2005,Demo Petroleum Co,47.109632,34.176161
IQ-OW-061,BH-061,Bai Hassan,planned,condensate,3690,1998,Missan Oil Company,44.261759,29.376875
IQ-OW-062,B-062,Badra,active,condensate,1668,1947,Midland Oil Company,44.595094,34.654297
IQ-OW-063,Q-063,Qayyarah,active,medium crude,1209,1935,Midland Oil Company,43.142190,36.377531
IQ-OW-064,N-064,Najmah,active,light crude,1640,1931,North Oil Company,47.180622,35.733857
IQ-OW-065,N-065,Najmah,active,sour crude,1913,1979,Iraq Drilling Company,41.664340,32.848830
IQ-OW-066,AA-066,Al-Ahdab,active,medium crude,1291,1974,Basra Oil Company,39.275536,33.285556
IQ-OW-067,M-067,Mansuriyah,active,condensate,3821,2000,Demo Petroleum Co,43.779288,33.692057
IQ-OW-068,Q-068,Qayyarah,active,light crude,3955,2001,Missan Oil Company,47.289098,31.901619
IQ-OW-069,H-069,Halfaya,active,medium crude,3302,2000,Midland Oil Company,40.983241,37.349430
IQ-OW-070,BH-070,Bai Hassan,active,medium crude,1876,1995,Basra Oil Company,46.326573,33.500750
IQ-OW-071,AA-071,Al-Ahdab,planned,light crude,3869,1960,Iraq Drilling Company,39.763998,31.520620
IQ-OW-072,EB-072,East Baghdad,active,sour crude,4415,1934,North Oil Company,43.843344,32.467120
IQ-OW-073,BH-073,Bai Hassan,active,sour crude,4104,1940,Missan Oil Company,40.021810,31.113553
IQ-OW-074,WQ-074,West Qurna,active,light crude,2898,1986,Demo Petroleum Co,45.344954,35.249591
IQ-OW-075,N-075,Nassiriya,active,heavy crude,4617,1939,Iraq Drilling Company,40.987140,35.009239
LB-OW-001,B7-001,Block 7,inactive,medium crude,4730,2024,Eni,33.873789,34.236298
LB-OW-002,B2-002,Block 2,planned,condensate,3407,2022,QatarEnergy,33.011196,33.342984
LB-OW-003,B2-003,Block 2,inactive,heavy crude,5823,2019,Demo Petroleum Co,33.764498,34.175832
LB-OW-004,B1-004,Block 1,active,light crude,3523,2024,QatarEnergy,34.896057,34.396393
LB-OW-005,B6-005,Block 6,planned,condensate,5011,2019,Demo Petroleum Co,34.372393,33.693086
LB-OW-006,B4-006,Block 4,inactive,light crude,3717,2022,QatarEnergy,34.214927,34.415969
LB-OW-007,B8-007,Block 8,active,medium crude,6199,2024,QatarEnergy,33.396404,33.964481
LB-OW-008,B7-008,Block 7,inactive,heavy crude,4807,2024,QatarEnergy,33.532756,33.844347
LB-OW-009,B9-009,Block 9,inactive,light crude,4080,2024,QatarEnergy,33.524085,33.861819
LB-OW-010,B9-010,Block 9,active,sour crude,5344,2019,Demo Petroleum Co,33.489761,34.127554
LB-OW-011,B6-011,Block 6,planned,condensate,5490,2021,QatarEnergy,33.286568,33.897326
LB-OW-012,B1-012,Block 10,active,condensate,4574,2024,QatarEnergy,33.389954,34.604983
